ID,Date,station,depth_m,temp_c,do_mg_l,chl_a_ug_l,pH,turb_ntu,cond_uS,,Filename,Time_approx,,
129,6/15/2023,DTFB,50.27,5.53,9.2,1.06,6.84,18.8*,,Y,DTFB20230615TT,12:50,No time recorded so time is very approximate.Ê,
130,6/15/2023,BTTR,0,13.72,9.65,2.64,7.52,19.7*,33.8,Y,DTTR20230615,14:15,No time recorded so time is very approximate.Ê,
131,6/15/2023,BCTR,0,10.91,9.89,2.07,6.86,29.2*,34.2,Y,BCTR20230615,14:35,No time recorded so time is very approximate.Ê,
133,7/13/2023,CGFB,0,20.87,7.2,0.5,7.51,468.0*,38.8,Y,CGFB20230713,10:30,No time recorded so time is very approximate.Ê,
134,7/13/2023,CGFB,47.6,4.77,6.07,0.92,7.86,264.6*,39.2,Y,CGFB20230713,11:00,No time recorded so time is very approximate.Ê,
135,7/13/2023,CGFB,40.34,4.86,9.1,0.91,7.95,265.5*,37.4,Y,CGFB20230713,11:00,No time recorded so time is very approximate.Ê,
136,7/13/2023,CGFB,30.28,5.42,9.13,1.26,7.95,265.4*,35.7,Y,CGFB20230713,11:00,No time recorded so time is very approximate.Ê,
137,7/13/2023,CGFB,20.3,6.91,10.27,1.89,7.88,370.1*,23.1,Y,CGFB20230713,11:00,No time recorded so time is very approximate.Ê,
138,7/13/2023,CGFB,15.11,8.36,11.89,5.09,7.87,615.0*,26.6,Y,CGFB20230713,11:00,No time recorded so time is very approximate.Ê,
139,7/13/2023,CGFB,10.28,10.62,11.88,4.45,7.96,1342.0*,30.4,Y,CGFB20230713,11:00,No time recorded so time is very approximate.Ê,
140,7/13/2023,CGFB,5.36,15.04,10.27,1.45,8.06,1291.0*,41.4,Y,CGFB20230713,11:00,No time recorded so time is very approximate.Ê,
141,7/13/2023,CGFB,84.13,4.46,4.67,0.17,7.88,569*,,Y,CGFB20230713TT,11:15,No time recorded so time is very approximate.Ê,
142,7/13/2023,CGFB,80.58,4.34,7.59,1.17,8.04,268.6*,,Y,CGFB20230713TT,11:15,No time recorded so time is very approximate.Ê,
143,7/13/2023,CGFB,70.59,4.37,8.64,0.94,8.11,266.9*,,Y,CGFB20230713TT,11:15,No time recorded so time is very approximate.Ê,
144,7/13/2023,CGFB,60.6,4.47,8.78,1.04,8.14,266.7*,,Y,CGFB20230713TT,11:15,No time recorded so time is very approximate.Ê,
145,7/13/2023,CGFB,50.59,4.69,9.22,1.04,8.19,266.4*,,Y,CGFB20230713TT,11:15,No time recorded so time is very approximate.Ê,
146,7/13/2023,CGTR,0,16.36,8.93,0.58,7.64,264.3*,37.4,Y,CGTR20230713,14:25,No time recorded so time is very approximate.Ê,
147,7/14/2023,DTFB,0,19.95,7.37,1.32,7.55,270.4*,36.2,Y,DTFB20230714,10:30,No time recorded so time is very approximate.Ê,
148,7/14/2023,DTFB,47.85,5.74,10.12,1.76,7.43,266.8*,36.3,Y,DTFB20230714,12:30,No time recorded so time is very approximate.Ê,
149,7/14/2023,DTFB,40.42,6.04,9.01,2.34,7.48,266.4*,35.5,Y,DTFB20230714,12:30,No time recorded so time is very approximate.Ê,
150,7/14/2023,DTFB,30.36,7.21,8.93,6.49,7.45,266.2*,33.5,Y,DTFB20230714,12:30,No time recorded so time is very approximate.Ê,
151,7/14/2023,DTFB,20.46,10.73,8.21,11.83,7.27,266.0*,32.6,Y,DTFB20230714,12:30,No time recorded so time is very approximate.Ê,
152,7/14/2023,DTFB,15.26,13.47,7.65,14.49,7.22,265.9*,34.5,Y,DTFB20230714,12:30,No time recorded so time is very approximate.Ê,
153,7/14/2023,DTFB,10.33,19.09,7.39,4.56,7.55,266.1*,34.6,Y,DTFB20230714,12:30,No time recorded so time is very approximate.Ê,
154,7/14/2023,DTFB,5.09,19.17,7.3,3.05,7.56,272.0*,36.5,Y,DTFB20230714,12:30,No time recorded so time is very approximate.Ê,
155,7/14/2023,DTFB,95.15,5.33,8.48,2.16,7.62,266.9*,,,DTFB20230714TT,12:45,No time recorded so time is very approximate.Ê,
