project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,,early_peak_flag
300,8/9/2023 4:14,8/9/2023 5:09,16.6283265,16.6283265,0.998108504,0,3300,1.5,0.264829334,-0.0223713,BVFB,BV,FB,0.993273448,0.993014735,0.002041802,3.2952534418639e-05,8.97308121541449e-30,,FALSE
301,8/9/2023 5:40,8/9/2023 6:35,15.32497516,14.56114549,0.997396884,0.763829675,3300,1.5,0.238011362,-0.017802785,BVFB,BV,FB,0.991964639,0.991655587,0.001881909,3.3217465615407e-05,9.05680574728234e-29,,FALSE
302,8/9/2023 7:06,8/9/2023 8:01,14.25189305,9.917261226,0.989350957,4.33463182,3300,1.5,0.24162641,-0.052120642,BVFB,BV,FB,0.978836719,0.978022747,0.00175767,5.06858900910102e-05,2.67403819671205e-23,,FALSE
303,8/9/2023 8:32,8/9/2023 9:27,6.79445223,6.742410018,0.988980743,0.052042212,3300,1.5,0.145150912,-0.043226381,BVFB,BV,FB,0.98424782,0.983617733,0.000857893,2.17060702223788e-05,4.6620526536883e-24,,FALSE
187,10/10/2023 9:47,10/10/2023 10:57,19.58162782,19.58162782,0.991141646,0,4200,1.5,0.616095794,-0.369657476,BVFB,BV,FB,0.953436682,0.952761851,0.0022276,5.92636800268698e-05,1.09273089649297e-47,,FALSE
251,3/7/2024 10:13,3/7/2024 12:26,-16.02404288,-1.496977415,0.959979618,0,7980,1.5,0.234467345,-0.399247807,DTFB,DT,FB,0.808407389,0.80695593,-0.001936042,8.20355423824713e-05,3.3361723861147e-49,,TRUE
259,3/19/2024 17:17,3/19/2024 18:14,-0.279919997,-3.954332358,0.758752398,0,3420,1.5,0.367276214,-0.342348161,BVTR,BV,TR,0.012419644,-0.005215719,-3.43E-05,4.08977141414957e-05,0.404928679,,FALSE
263,3/20/2024 12:33,3/20/2024 13:33,-1.235882801,-3.989948726,0.964382855,0,3600,1.5,0.157190546,-0.163762199,DTFB,DT,FB,0.505912777,0.497538417,-0.000155614,2.00210325537551e-05,1.32782127390943e-10,,TRUE
267,3/21/2024 11:45,3/21/2024 12:33,1.183403373,1.183403373,0.946987905,0,2880,1.5,0.274821917,-0.285694473,CGFB,CG,FB,0.199108045,0.18206779,0.000144167,4.21753925123874e-05,0.001310976,,FALSE
271,3/22/2024 11:06,3/22/2024 12:25,-32.05327892,-42.69453376,0.994118473,0,4740,1.5,0.572321793,-0.909754079,DLFB,DL,FB,0.97514425,0.974825586,-0.0038794,7.01287746136122e-05,2.40700174256054e-64,,TRUE
275,3/22/2024 14:57,3/22/2024 15:57,-4.452192722,4.836889422,0.960811786,0,3600,1.5,0.222264866,-0.272319709,DLTR,DL,TR,0.663992595,0.658297554,-0.000550598,5.09919507249271e-05,1.34075616333664e-15,,TRUE
358,5/14/2024 13:34,5/14/2024 15:33,-0.107559267,1.254182201,0.863531769,0,7140,1.5,0.089239034,-0.085136783,DTFB,DT,FB,0.036881056,0.028719031,-1.37E-05,6.46061275809768e-06,0.035612668,,FALSE
362,5/15/2024 11:42,5/15/2024 13:43,-2.013388216,-6.691155895,0.994451535,0,7260,1.5,0.119855407,-0.15025164,CGFB,CG,FB,0.595878645,0.592510967,-0.000262319,1.97203927414228e-05,2.3024575532624e-25,,TRUE
370,5/16/2024 12:43,5/16/2024 13:23,-1.600274993,-1.070510731,0.530306407,0,2400,1.5,0.350973775,-0.354520028,DLFB,DL,FB,0.021280952,-0.003814408,-0.000202017,0.000219375,0.362779238,,TRUE
390,5/21/2024 10:31,5/21/2024 11:12,5.537686182,4.243005456,0.952384118,1.294680725,2460,1.5,0.290680284,-0.174587462,DLTR,DL,TR,0.839095236,0.835072617,0.000670375,4.64158860248624e-05,1.84376913475781e-17,,FALSE
386,5/21/2024 12:03,5/21/2024 12:47,0.248938117,0.248938117,0.013053409,0,2640,1.5,0.291298983,-0.261377405,DLFB,DL,FB,0.005589074,-0.017536761,3.01382883203808e-05,6.13052064946002e-05,0.625494887,,FALSE
468,11/12/2024 9:40,11/12/2024 10:40,3.489617507,3.489617507,0.986758541,0,3600,1.5,0.933154118,-0.71813533,DLFB,DL,FB,0.061815334,0.045913899,0.000423412,0.00021475,0.053344244,,FALSE
473,11/12/2024 12:20,11/12/2024 13:24,3.171167283,3.171167283,0.771492298,0,3840,1.5,0.36132182,-0.258368982,DLTR,DL,TR,0.372311329,0.362348017,0.00038415,6.28419083491334e-05,6.81405741734345e-08,,FALSE
478,11/13/2024 11:48,11/13/2024 13:18,1.439138877,1.439138877,0.937299858,0,5400,1.5,0.30576951,-0.294350939,DTFB,DT,FB,0.071674389,0.061243764,0.000172764,6.5906363388892e-05,0.010299642,,FALSE
483,11/14/2024 11:26,11/14/2024 12:45,1.385161246,1.385161246,0.945384037,0,4740,1.5,0.202417379,-0.161833475,CGFB,CG,FB,0.153115396,0.142257901,0.0001656,4.40976586075623e-05,0.000331898,,FALSE
